Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
SEN,2018-01-01,2018-12-31,195,Senegal,358,Cabbages and other brassicas,5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,162.000000,Im
SEN,2019-01-01,2019-12-31,195,Senegal,358,Cabbages and other brassicas,5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,185.000000,Im
SEN,1991-01-01,1991-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,151000.000000,
SEN,1992-01-01,1992-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,114000.000000,
SEN,1993-01-01,1993-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,114000.000000,
SEN,1994-01-01,1994-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,148000.000000,
SEN,1995-01-01,1995-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,182000.000000,
SEN,1996-01-01,1996-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,338000.000000,
SEN,1997-01-01,1997-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,648000.000000,
SEN,1998-01-01,1998-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,462000.000000,
SEN,1999-01-01,1999-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,499000.000000,
SEN,2000-01-01,2000-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,372000.000000,
SEN,2001-01-01,2001-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,426000.000000,
SEN,2002-01-01,2002-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,480000.000000,
SEN,2003-01-01,2003-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,480000.000000,
SEN,2004-01-01,2004-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,480000.000000,
SEN,2005-01-01,2005-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,405000.000000,
SEN,2006-01-01,2006-12-31,195,Senegal,217,"Cashew nuts, with shell",5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,264000.000000,
